,eth_price,usd_price,cv_eth,cv_usd
2022-01-14,59.9,194171.84,59.565000000000005,221368.52805666666
2022-01-14,63.95,207300.32,59.565000000000005,221368.52805666666
2022-01-14,50.0,162080.0,59.565000000000005,221368.52805666666
2022-01-14,67.95,220266.72,59.565000000000005,221368.52805666666
2022-01-14,59.0,191254.4,59.565000000000005,221368.52805666666
2022-01-14,82.0,265811.2,59.565000000000005,221368.52805666666
2022-01-13,68.88,232349.46,59.63166666666667,222442.29472333333
2022-01-13,60.0,202395.0,59.63166666666667,222442.29472333333
2022-01-12,62.97,204075.0651,59.692,224466.5888
2022-01-12,60.95,197528.5885,59.692,224466.5888
2022-01-12,59.69,193445.1427,59.692,224466.5888
2022-01-12,82.95,268826.8485,59.692,224466.5888
2022-01-12,66.66,216033.7278,59.692,224466.5888
2022-01-12,79.9,258942.317,59.692,224466.5888
2022-01-12,60.0,194449.8,59.692,224466.5888
2022-01-11,65.0,200428.15,59.89766666666666,227445.25295666666
2022-01-11,63.63,196203.7413,59.89766666666666,227445.25295666666
2022-01-11,63.97,197252.1347,59.89766666666666,227445.25295666666
2022-01-11,69.95,215691.5245,59.89766666666666,227445.25295666666
2022-01-11,92.8,286149.728,59.89766666666666,227445.25295666666
2022-01-11,99.0,305267.49,59.89766666666666,227445.25295666666
2022-01-11,73.9,227871.389,59.89766666666666,227445.25295666666
2022-01-10,64.0,201705.6,60.22933333333334,230160.5510066667
2022-01-10,57.0,179644.05,60.22933333333334,230160.5510066667
2022-01-10,60.0,189099.0,60.22933333333334,230160.5510066667
2022-01-10,115.0,362439.75,60.22933333333334,230160.5510066667
2022-01-10,62.0,195402.3,60.22933333333334,230160.5510066667
2022-01-10,60.0,189099.0,60.22933333333334,230160.5510066667
2022-01-10,79.95,251974.4175,60.22933333333334,230160.5510066667
2022-01-10,89.99,283616.9835,60.22933333333334,230160.5510066667
2022-01-10,74.0,233222.1,60.22933333333334,230160.5510066667
2022-01-10,60.0,189099.0,60.22933333333334,230160.5510066667
2022-01-10,61.0,192250.65,60.22933333333334,230160.5510066667
2022-01-09,80.0,246473.6,59.696,230704.20967333333
2022-01-09,102.345,315316.7574,59.696,230704.20967333333
2022-01-08,63.0,201534.48,60.096999999999994,234887.01593333334
2022-01-08,60.95,194976.612,60.096999999999994,234887.01593333334
2022-01-08,62.5,199935.0,60.096999999999994,234887.01593333334
2022-01-08,79.95,255756.852,60.096999999999994,234887.01593333334
2022-01-08,65.5,209531.88,60.096999999999994,234887.01593333334
2022-01-08,60.0,191937.6,60.096999999999994,234887.01593333334
2022-01-08,61.0,195136.56,60.096999999999994,234887.01593333334
2022-01-08,63.0,201534.48,60.096999999999994,234887.01593333334
2022-01-08,260.0,831729.6,60.096999999999994,234887.01593333334
2022-01-08,63.0,201534.48,60.096999999999994,234887.01593333334
2022-01-08,63.0,201534.48,60.096999999999994,234887.01593333334
2022-01-08,58.02,185603.6592,60.096999999999994,234887.01593333334
2022-01-07,66.0,224773.56,60.432,238138.52870000002
2022-01-07,68.0,231584.88,60.432,238138.52870000002
2022-01-07,65.0,221367.9,60.432,238138.52870000002
2022-01-07,65.0,221367.9,60.432,238138.52870000002
2022-01-07,67.67,230461.0122,60.432,238138.52870000002
